start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Hilltop,JC019,40.72333158646436,-74.04595255851744,40.7311689,-74.0575736
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
